                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.2584340588283051E+003   0.0000000000000000E+000                         3                         3                         0                        -3
  0.5523102543645683E+003   0.0000000000000000E+000                         3                         0                         2                         2
  0.7016248159839873E+003   0.0000000000000000E+000                         3                         0                         3                         3
  0.8457341417371665E+003   0.0000000000000000E+000                         3                         0                         4                         4
  0.9897886802711158E+003   0.0000000000000000E+000                         3                         0                         5                         5
  0.1132091021994099E+004   0.0000000000000000E+000                         3                         0                         6                         6
  0.1273683492903631E+004   0.0000000000000000E+000                         3                         0                         7                         7
  0.1414397121861565E+004   0.0000000000000000E+000                         3                         0                         8                         8
  0.1551692955205105E+004   0.0000000000000000E+000                         3                         0                         9                         9
  0.1686269987040793E+004   0.0000000000000000E+000                         3                         0                        10                        10
  0.1818615040294347E+004   0.0000000000000000E+000                         3                         0                        11                        11
  0.1951157286174905E+004   0.0000000000000000E+000                         3                         0                        12                        12
  0.2084779160606225E+004   0.0000000000000000E+000                         3                         0                        13                        13
  0.2217712965141720E+004   0.0000000000000000E+000                         3                         0                        14                        14
  0.2349591395900625E+004   0.0000000000000000E+000                         3                         0                        15                        15
  0.2480743089317871E+004   0.0000000000000000E+000                         3                         0                        16                        16
  0.2612297462626538E+004   0.0000000000000000E+000                         3                         0                        17                        17
  0.2745136204503672E+004   0.0000000000000000E+000                         3                         0                        18                        18
  0.2878425078856868E+004   0.0000000000000000E+000                         3                         0                        19                        19
  0.3011882822568316E+004   0.0000000000000000E+000                         3                         0                        20                        20
  0.3145369298334354E+004   0.0000000000000000E+000                         3                         0                        21                        21
  0.3278902877700101E+004   0.0000000000000000E+000                         3                         0                        22                        22
  0.3412984141444863E+004   0.0000000000000000E+000                         3                         0                        23                        23
  0.3547333444189928E+004   0.0000000000000000E+000                         3                         0                        24                        24
  0.3681975103389736E+004   0.0000000000000000E+000                         3                         0                        25                        25
  0.3816859400716495E+004   0.0000000000000000E+000                         3                         0                        26                        26
  0.3951732210065878E+004   0.0000000000000000E+000                         3                         0                        27                        27
  0.4086766629205496E+004   0.0000000000000000E+000                         3                         0                        28                        28
  0.4221751337192738E+004   0.0000000000000000E+000                         3                         0                        29                        29
  0.4356694666074858E+004   0.0000000000000000E+000                         3                         0                        30                        30
  0.4491493983140742E+004   0.0000000000000000E+000                         3                         0                        31                        31
  0.4625732811024584E+004   0.0000000000000000E+000                         3                         0                        32                        32
  0.4758384009816571E+004   0.0000000000000000E+000                         3                         0                        33                        33
  0.4889027509683749E+004   0.0000000000000000E+000                         3                         0                        34                        34
  0.5020401870779624E+004   0.0000000000000000E+000                         3                         0                        35                        35
  0.5149778978592391E+004   0.0000000000000000E+000                         3                         0                        36                        36
  0.5276231313703152E+004   0.0000000000000000E+000                         3                         0                        37                        37
  0.5399572498040763E+004   0.0000000000000000E+000                         3                         0                        38                        38
  0.5521140761354846E+004   0.0000000000000000E+000                         3                         0                        39                        39
  0.5643735344326716E+004   0.0000000000000000E+000                         3                         0                        40                        40
  0.5769377911462100E+004   0.0000000000000000E+000                         3                         0                        41                        41
  0.5898058139981913E+004   0.0000000000000000E+000                         3                         0                        42                        42
  0.6029039805575761E+004   0.0000000000000000E+000                         3                         0                        43                        43
  0.6161602058581033E+004   0.0000000000000000E+000                         3                         0                        44                        44
  0.6295125026608055E+004   0.0000000000000000E+000                         3                         0                        45                        45
  0.6429340884541501E+004   0.0000000000000000E+000                         3                         0                        46                        46
  0.6563961172507125E+004   0.0000000000000000E+000                         3                         0                        47                        47
  0.6698844308227523E+004   0.0000000000000000E+000                         3                         0                        48                        48
  0.6833909943691153E+004   0.0000000000000000E+000                         3                         0                        49                        49
  0.6969005360334804E+004   0.0000000000000000E+000                         3                         0                        50                        50
  0.7104129666976652E+004   0.0000000000000000E+000                         3                         0                        51                        51
  0.7239165945238538E+004   0.0000000000000000E+000                         3                         0                        52                        52
  0.7374077272620881E+004   0.0000000000000000E+000                         3                         0                        53                        53
  0.7508828321608801E+004   0.0000000000000000E+000                         3                         0                        54                        54
  0.7643315978763662E+004   0.0000000000000000E+000                         3                         0                        55                        55
  0.7777547607457759E+004   0.0000000000000000E+000                         3                         0                        56                        56
  0.7911425442355810E+004   0.0000000000000000E+000                         3                         0                        57                        57
