                                                                                                                                                                                                                                                                



                        1                         2                         3                         4                         5                         6
                 Re(freq)                  Im(freq)                         l                       n_g                       n_p                      n_pg
  0.7903558913376062E+004   0.0000000000000000E+000                         1                         0                        54                        55
  0.5212562475433352E+002   0.0000000000000000E+000                         2                        19                         0                       -19
  0.3293005703145766E+003   0.0000000000000000E+000                         2                         0                         0                         0
  0.3831694227409498E+003   0.0000000000000000E+000                         2                         0                         1                         1
  0.5264554080928980E+003   0.0000000000000000E+000                         2                         0                         2                         2
  0.6803670502332571E+003   0.0000000000000000E+000                         2                         0                         3                         3
  0.8321137178883113E+003   0.0000000000000000E+000                         2                         0                         4                         4
  0.9840369118261758E+003   0.0000000000000000E+000                         2                         0                         5                         5
  0.1133162876101400E+004   0.0000000000000000E+000                         2                         0                         6                         6
  0.1282853463866187E+004   0.0000000000000000E+000                         2                         0                         7                         7
  0.1430593657671326E+004   0.0000000000000000E+000                         2                         0                         8                         8
  0.1576219678078909E+004   0.0000000000000000E+000                         2                         0                         9                         9
  0.1718961765293005E+004   0.0000000000000000E+000                         2                         0                        10                        10
  0.1858548601327599E+004   0.0000000000000000E+000                         2                         0                        11                        11
  0.1997950462291505E+004   0.0000000000000000E+000                         2                         0                        12                        12
  0.2137659827480896E+004   0.0000000000000000E+000                         2                         0                        13                        13
  0.2277413450799837E+004   0.0000000000000000E+000                         2                         0                        14                        14
  0.2416425789108409E+004   0.0000000000000000E+000                         2                         0                        15                        15
  0.2554148613732024E+004   0.0000000000000000E+000                         2                         0                        16                        16
  0.2692184911381867E+004   0.0000000000000000E+000                         2                         0                        17                        17
  0.2831016735999852E+004   0.0000000000000000E+000                         2                         0                        18                        18
  0.2970463440910567E+004   0.0000000000000000E+000                         2                         0                        19                        19
  0.3110372654107044E+004   0.0000000000000000E+000                         2                         0                        20                        20
  0.3250110659931531E+004   0.0000000000000000E+000                         2                         0                        21                        21
  0.3390108680766457E+004   0.0000000000000000E+000                         2                         0                        22                        22
  0.3530516938282582E+004   0.0000000000000000E+000                         2                         0                        23                        23
  0.3671224098859467E+004   0.0000000000000000E+000                         2                         0                        24                        24
  0.3812383504627936E+004   0.0000000000000000E+000                         2                         0                        25                        25
  0.3953634573064111E+004   0.0000000000000000E+000                         2                         0                        26                        26
  0.4095103840208346E+004   0.0000000000000000E+000                         2                         0                        27                        27
  0.4236720719711555E+004   0.0000000000000000E+000                         2                         0                        28                        28
  0.4378299649475896E+004   0.0000000000000000E+000                         2                         0                        29                        29
  0.4519985247066478E+004   0.0000000000000000E+000                         2                         0                        30                        30
  0.4661504972311088E+004   0.0000000000000000E+000                         2                         0                        31                        31
  0.4802830236767848E+004   0.0000000000000000E+000                         2                         0                        32                        32
  0.4943603803949611E+004   0.0000000000000000E+000                         2                         0                        33                        33
  0.5081781031082865E+004   0.0000000000000000E+000                         2                         0                        34                        34
  0.5219046325432106E+004   0.0000000000000000E+000                         2                         0                        35                        35
  0.5356312237450875E+004   0.0000000000000000E+000                         2                         0                        36                        36
  0.5491196397077332E+004   0.0000000000000000E+000                         2                         0                        37                        37
  0.5622975148934155E+004   0.0000000000000000E+000                         2                         0                        38                        38
  0.5751705700973767E+004   0.0000000000000000E+000                         2                         0                        39                        39
  0.5879522302765613E+004   0.0000000000000000E+000                         2                         0                        40                        40
  0.6009253812944651E+004   0.0000000000000000E+000                         2                         0                        41                        41
  0.6142236868220290E+004   0.0000000000000000E+000                         2                         0                        42                        42
  0.6278239167693470E+004   0.0000000000000000E+000                         2                         0                        43                        43
